MID,transaction_id,timestamp,status,amount_usd,bank_routing,return_code,device_type
MID01066,ACH-MID01066-20260525-00000,2026-05-25T04:07:29+00:00,settled,65.84,12718121,,desktop-web
MID01066,ACH-MID01066-20260525-00001,2026-05-25T18:22:36+00:00,settled,87.62,61425487,,mobile-android
MID01066,ACH-MID01066-20260525-00002,2026-05-25T03:01:09+00:00,settled,24.01,24696853,,mobile-ios
MID01066,ACH-MID01066-20260525-00003,2026-05-25T11:52:30+00:00,settled,26.2,33261073,,mobile-ios
MID01066,ACH-MID01066-20260525-00004,2026-05-25T22:24:13+00:00,settled,69.16,19334463,,in-app
MID01066,ACH-MID01066-20260525-00005,2026-05-25T04:08:17+00:00,settled,34.82,96776233,,desktop-web
MID01066,ACH-MID01066-20260525-00006,2026-05-25T10:46:24+00:00,settled,13.86,71260543,,mobile-ios
MID01066,ACH-MID01066-20260525-00007,2026-05-25T18:41:26+00:00,settled,10.64,56382685,,desktop-web
MID01066,ACH-MID01066-20260525-00008,2026-05-25T20:55:56+00:00,settled,114.85,93378527,,desktop-web
MID01066,ACH-MID01066-20260525-00009,2026-05-25T15:30:06+00:00,settled,18.39,73300399,,mobile-ios
MID01066,ACH-MID01066-20260525-00010,2026-05-25T16:52:05+00:00,settled,65.33,79880978,,desktop-web
MID01066,ACH-MID01066-20260525-00011,2026-05-25T00:39:53+00:00,settled,53.45,87059913,,mobile-android
MID01066,ACH-MID01066-20260525-00012,2026-05-25T10:12:10+00:00,settled,67.22,85118128,,mobile-android
MID01066,ACH-MID01066-20260525-00013,2026-05-25T14:55:17+00:00,settled,26.62,56140288,,desktop-web
MID01066,ACH-MID01066-20260525-00014,2026-05-25T15:49:14+00:00,settled,55.22,28786183,,pos-terminal
MID01066,ACH-MID01066-20260525-00015,2026-05-25T08:40:35+00:00,settled,68.51,23520376,,mobile-android
MID01066,ACH-MID01066-20260525-00016,2026-05-25T09:44:31+00:00,settled,28.96,75925440,,in-app
MID01066,ACH-MID01066-20260525-00017,2026-05-25T00:08:44+00:00,settled,48.03,93404231,,mobile-ios
MID01066,ACH-MID01066-20260525-00018,2026-05-25T22:29:17+00:00,settled,13.95,94964118,,mobile-ios
MID01066,ACH-MID01066-20260525-00019,2026-05-25T11:20:43+00:00,settled,169.48,20736363,,desktop-web
MID01066,ACH-MID01066-20260525-00020,2026-05-25T14:51:19+00:00,settled,47.78,82020180,,pos-terminal
MID01066,ACH-MID01066-20260525-00021,2026-05-25T07:10:32+00:00,settled,45.64,64555282,,mobile-ios
MID01066,ACH-MID01066-20260525-00022,2026-05-25T09:35:01+00:00,settled,161.48,20193648,,desktop-web
MID01066,ACH-MID01066-20260525-00023,2026-05-25T22:47:31+00:00,settled,150.0,55310106,,desktop-web
MID01066,ACH-MID01066-20260525-00024,2026-05-25T12:13:14+00:00,settled,46.36,54568433,,mobile-ios
MID01066,ACH-MID01066-20260525-00025,2026-05-25T10:23:36+00:00,settled,55.71,60899360,,mobile-ios
MID01066,ACH-MID01066-20260525-00026,2026-05-25T07:41:03+00:00,settled,224.59,75666717,,mobile-android
MID01066,ACH-MID01066-20260525-00027,2026-05-25T14:16:26+00:00,settled,39.05,22332759,,in-app
MID01066,ACH-MID01066-20260525-00028,2026-05-25T15:40:01+00:00,settled,115.97,40102089,,mobile-android
MID01066,ACH-MID01066-20260525-00029,2026-05-25T14:47:07+00:00,settled,35.22,32572017,,pos-terminal
MID01066,ACH-MID01066-20260525-00030,2026-05-25T07:39:31+00:00,settled,122.71,49406263,,mobile-ios
MID01066,ACH-MID01066-20260525-00031,2026-05-25T03:52:07+00:00,settled,59.86,20686657,,mobile-ios
MID01066,ACH-MID01066-20260525-00032,2026-05-25T05:23:02+00:00,settled,408.3,17293918,,in-app
MID01066,ACH-MID01066-20260525-00033,2026-05-25T15:32:41+00:00,settled,98.46,45418023,,desktop-web
MID01066,ACH-MID01066-20260525-00034,2026-05-25T15:18:55+00:00,settled,66.48,21670008,,in-app
MID01066,ACH-MID01066-20260525-00035,2026-05-25T15:18:25+00:00,settled,76.25,51635741,,mobile-android
MID01066,ACH-MID01066-20260525-00036,2026-05-25T07:25:21+00:00,settled,23.69,72916108,,mobile-ios
MID01066,ACH-MID01066-20260525-00037,2026-05-25T13:37:02+00:00,settled,77.26,41679543,,in-app
MID01066,ACH-MID01066-20260525-00038,2026-05-25T08:06:21+00:00,settled,15.67,98257312,,pos-terminal
MID01066,ACH-MID01066-20260525-00039,2026-05-25T10:26:41+00:00,settled,15.05,19388723,,desktop-web
MID01066,ACH-MID01066-20260525-00040,2026-05-25T21:10:34+00:00,settled,38.42,90814817,,mobile-ios
MID01066,ACH-MID01066-20260525-00041,2026-05-25T09:35:55+00:00,settled,130.39,14208299,,pos-terminal
MID01066,ACH-MID01066-20260525-00042,2026-05-25T10:24:59+00:00,settled,150.23,51978942,,mobile-android
MID01066,ACH-MID01066-20260525-00043,2026-05-25T09:36:17+00:00,settled,88.93,45408235,,pos-terminal
MID01066,ACH-MID01066-20260525-00044,2026-05-25T08:13:23+00:00,settled,118.16,15108006,,desktop-web
MID01066,ACH-MID01066-20260525-00045,2026-05-25T08:21:04+00:00,settled,153.01,53993003,,mobile-ios
MID01066,ACH-MID01066-20260525-00046,2026-05-25T10:05:21+00:00,settled,24.77,86500496,,pos-terminal
MID01066,ACH-MID01066-20260525-00047,2026-05-25T10:50:05+00:00,settled,115.9,81908667,,mobile-android
MID01066,ACH-MID01066-20260525-00048,2026-05-25T08:56:37+00:00,settled,24.42,62251757,,in-app
MID01066,ACH-MID01066-20260525-00049,2026-05-25T15:33:10+00:00,settled,25.22,15613501,,desktop-web
MID01066,ACH-MID01066-20260525-00050,2026-05-25T08:30:09+00:00,settled,8.62,44203230,,in-app
MID01066,ACH-MID01066-20260525-00051,2026-05-25T23:12:09+00:00,settled,81.9,46203525,,desktop-web
MID01066,ACH-MID01066-20260525-00052,2026-05-25T17:41:14+00:00,settled,24.1,16168722,,in-app
MID01066,ACH-MID01066-20260525-00053,2026-05-25T01:46:05+00:00,settled,14.86,64495050,,in-app
MID01066,ACH-MID01066-20260525-00054,2026-05-25T01:55:55+00:00,settled,21.82,16649727,,desktop-web
MID01066,ACH-MID01066-20260525-00055,2026-05-25T02:44:16+00:00,settled,25.36,27729005,,mobile-android
MID01066,ACH-MID01066-20260525-00056,2026-05-25T11:19:48+00:00,settled,286.68,63602049,,in-app
MID01066,ACH-MID01066-20260525-00057,2026-05-25T07:46:42+00:00,settled,110.18,72511662,,mobile-ios
MID01066,ACH-MID01066-20260525-00058,2026-05-25T16:56:57+00:00,settled,44.12,80429040,,pos-terminal
MID01066,ACH-MID01066-20260525-00059,2026-05-25T07:49:57+00:00,settled,26.0,44755177,,mobile-android
MID01066,ACH-MID01066-20260525-00060,2026-05-25T20:21:54+00:00,settled,37.41,36383441,,mobile-android
MID01066,ACH-MID01066-20260525-00061,2026-05-25T13:36:12+00:00,settled,54.96,55648304,,pos-terminal
MID01066,ACH-MID01066-20260525-00062,2026-05-25T14:27:32+00:00,settled,129.35,85906420,,desktop-web
MID01066,ACH-MID01066-20260525-00063,2026-05-25T19:17:18+00:00,returned,30.86,25196163,R03,mobile-ios
MID01066,ACH-MID01066-20260525-00064,2026-05-25T19:05:53+00:00,settled,71.56,60511495,,mobile-ios
MID01066,ACH-MID01066-20260525-00065,2026-05-25T13:16:38+00:00,settled,65.86,10119868,,mobile-android
MID01066,ACH-MID01066-20260525-00066,2026-05-25T18:22:53+00:00,settled,211.64,52239329,,desktop-web
MID01066,ACH-MID01066-20260525-00067,2026-05-25T09:55:03+00:00,settled,89.99,34930605,,mobile-ios
MID01066,ACH-MID01066-20260525-00068,2026-05-25T20:27:19+00:00,returned,88.1,77716795,R02,desktop-web
MID01066,ACH-MID01066-20260525-00069,2026-05-25T22:39:18+00:00,settled,472.72,85396725,,pos-terminal
MID01066,ACH-MID01066-20260525-00070,2026-05-25T19:30:10+00:00,settled,46.76,35861344,,pos-terminal
MID01066,ACH-MID01066-20260525-00071,2026-05-25T23:08:20+00:00,settled,52.07,31247657,,pos-terminal
MID01066,ACH-MID01066-20260525-00072,2026-05-25T17:15:44+00:00,settled,21.87,57025870,,pos-terminal
MID01066,ACH-MID01066-20260525-00073,2026-05-25T01:14:35+00:00,settled,39.31,93606916,,desktop-web
MID01066,ACH-MID01066-20260525-00074,2026-05-25T14:36:13+00:00,settled,93.74,52331043,,desktop-web
MID01066,ACH-MID01066-20260525-00075,2026-05-25T06:38:30+00:00,settled,98.4,86296659,,in-app
MID01066,ACH-MID01066-20260525-00076,2026-05-25T13:42:19+00:00,settled,114.15,21703917,,pos-terminal
MID01066,ACH-MID01066-20260525-00077,2026-05-25T08:05:17+00:00,settled,340.5,32560453,,desktop-web
MID01066,ACH-MID01066-20260525-00078,2026-05-25T22:44:10+00:00,settled,29.49,60975077,,mobile-android
MID01066,ACH-MID01066-20260525-00079,2026-05-25T08:11:25+00:00,settled,26.19,64326440,,mobile-android
MID01066,ACH-MID01066-20260525-00080,2026-05-25T05:48:15+00:00,settled,109.86,68836831,,mobile-ios
MID01066,ACH-MID01066-20260525-00081,2026-05-25T07:32:19+00:00,settled,64.06,86783032,,pos-terminal
MID01066,ACH-MID01066-20260525-00082,2026-05-25T20:38:56+00:00,settled,13.62,47288355,,mobile-ios
MID01066,ACH-MID01066-20260525-00083,2026-05-25T01:48:49+00:00,settled,68.9,60219248,,pos-terminal
MID01066,ACH-MID01066-20260525-00084,2026-05-25T21:28:39+00:00,settled,22.01,80058122,,mobile-ios
MID01066,ACH-MID01066-20260525-00085,2026-05-25T08:34:34+00:00,returned,16.55,42718204,R01,pos-terminal
MID01066,ACH-MID01066-20260525-00086,2026-05-25T23:45:16+00:00,settled,72.82,35520890,,in-app
MID01066,ACH-MID01066-20260525-00087,2026-05-25T13:28:33+00:00,settled,172.56,13464482,,desktop-web
MID01066,ACH-MID01066-20260525-00088,2026-05-25T20:57:01+00:00,settled,18.2,42875487,,mobile-android
MID01066,ACH-MID01066-20260525-00089,2026-05-25T13:05:58+00:00,settled,17.52,24136170,,pos-terminal
MID01066,ACH-MID01066-20260525-00090,2026-05-25T10:49:54+00:00,settled,127.71,69262569,,mobile-android
MID01066,ACH-MID01066-20260525-00091,2026-05-25T20:22:44+00:00,settled,117.23,84712519,,pos-terminal
MID01066,ACH-MID01066-20260525-00092,2026-05-25T20:40:55+00:00,settled,20.66,29446220,,mobile-ios
MID01066,ACH-MID01066-20260525-00093,2026-05-25T05:27:01+00:00,settled,225.86,79507635,,in-app
