MID,transaction_id,timestamp,status,amount_usd,bank_routing,return_code,device_type
MID01066,ACH-MID01066-20260521-00000,2026-05-21T04:25:41+00:00,settled,16.14,78106871,,mobile-ios
MID01066,ACH-MID01066-20260521-00001,2026-05-21T13:26:04+00:00,settled,28.72,17933677,,mobile-ios
MID01066,ACH-MID01066-20260521-00002,2026-05-21T07:40:40+00:00,settled,75.87,88590039,,mobile-android
MID01066,ACH-MID01066-20260521-00003,2026-05-21T01:35:54+00:00,settled,26.55,82569631,,desktop-web
MID01066,ACH-MID01066-20260521-00004,2026-05-21T17:52:43+00:00,settled,21.92,95753514,,mobile-ios
MID01066,ACH-MID01066-20260521-00005,2026-05-21T17:45:04+00:00,settled,85.32,76627625,,in-app
MID01066,ACH-MID01066-20260521-00006,2026-05-21T10:29:37+00:00,settled,175.42,43343251,,mobile-android
MID01066,ACH-MID01066-20260521-00007,2026-05-21T02:36:19+00:00,settled,89.5,70241505,,mobile-ios
MID01066,ACH-MID01066-20260521-00008,2026-05-21T03:32:26+00:00,settled,31.74,75627516,,mobile-ios
MID01066,ACH-MID01066-20260521-00009,2026-05-21T17:36:50+00:00,settled,148.09,57000147,,pos-terminal
MID01066,ACH-MID01066-20260521-00010,2026-05-21T14:04:53+00:00,settled,29.61,99141000,,desktop-web
MID01066,ACH-MID01066-20260521-00011,2026-05-21T20:36:43+00:00,settled,128.53,61780050,,desktop-web
MID01066,ACH-MID01066-20260521-00012,2026-05-21T00:29:22+00:00,settled,38.54,17912728,,desktop-web
MID01066,ACH-MID01066-20260521-00013,2026-05-21T04:47:15+00:00,settled,11.14,76640001,,in-app
MID01066,ACH-MID01066-20260521-00014,2026-05-21T12:35:17+00:00,settled,139.15,65740154,,in-app
MID01066,ACH-MID01066-20260521-00015,2026-05-21T07:09:05+00:00,returned,36.06,41317839,R09,mobile-android
MID01066,ACH-MID01066-20260521-00016,2026-05-21T08:18:00+00:00,settled,21.97,91847639,,mobile-android
MID01066,ACH-MID01066-20260521-00017,2026-05-21T22:54:32+00:00,settled,126.91,85064182,,in-app
MID01066,ACH-MID01066-20260521-00018,2026-05-21T12:06:30+00:00,settled,82.17,19039243,,in-app
MID01066,ACH-MID01066-20260521-00019,2026-05-21T05:07:21+00:00,settled,78.54,86072408,,mobile-ios
MID01066,ACH-MID01066-20260521-00020,2026-05-21T11:39:01+00:00,settled,30.23,60496650,,desktop-web
MID01066,ACH-MID01066-20260521-00021,2026-05-21T11:38:23+00:00,settled,63.9,75507385,,in-app
MID01066,ACH-MID01066-20260521-00022,2026-05-21T15:30:19+00:00,settled,48.81,31667923,,mobile-android
MID01066,ACH-MID01066-20260521-00023,2026-05-21T16:23:09+00:00,settled,114.01,96290869,,desktop-web
MID01066,ACH-MID01066-20260521-00024,2026-05-21T16:23:58+00:00,settled,82.69,54246886,,pos-terminal
